timestamp,machine_id,temperature,vibration,pressure,defect_flag
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
2023-08-01 10:00,101,75,0.5,30,0
2023-08-01 10:01,101,76,0.6,31,1
